seed,method,epoch,remaining_accuracy,forget_accuracy,testing_accuracy,SVC_MIA_forget_correctness,SVC_MIA_forget_confidence,SVC_MIA_forget_entropy,SVC_MIA_forget_m_entropy,SVC_MIA_forget_prob,unlearn_time_ms,wasserstein_dist,activation_distance_forget,activation_distance_test,wasserstein_dist_retrain,activation_distance_retrain,param_epochs_for_unlearning,param_learning_rate_for_unlearning,param_alpha,param_arch,param_dataset,param_lr,param_epochs_train,param_forgetting_data_amount,class_to_forget,ra_gap,ua_gap,test_gap,mia_confidence_gap,average_gap,run_time_efficiency
219,FT,2,93.67953213625903,92.26666646321614,89.37,0.07733333333333337,0.1657777777777778,0.2853333333333333,0.42933333333333334,0.4151111111111111,20520.406246185303,1.2045633983342392,0.13862137496471405,,1.7119968191990222,0.4303813576698303,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,36.12397659855001,36.933333092583545,32.690000000000005,0.20133333333333336,26.487160756116722,0.9946159650493153
219,FT,4,96.82105263836063,93.15555533175998,90.29,0.06844444444444442,0.11955555555555553,0.19511111111111112,0.4835555555555555,0.23955555555555552,34865.00430107117,1.2608819021327629,0.18942570686340332,,1.70512998755603,0.33570554852485657,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,19.19532166776601,25.02222190348307,20.63000000000001,0.22755555555555562,16.26877478170116,0.9947713061566793
219,FT,6,98.99883037758988,93.37777781846788,90.47,0.06622222222222218,0.1213333333333333,0.15466666666666662,0.39955555555555555,0.1333333333333333,49227.192401885986,1.2926206597292147,0.2033344954252243,,1.7083362505511297,0.34182602167129517,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,17.759064314635864,27.155555874294706,23.519999999999996,0.2884444444444445,17.180766158343754,0.9948036333275915
219,FT,8,99.81520467836258,93.64444457329644,90.34,0.06355555555555559,0.1333333333333333,0.14711111111111108,0.3586666666666667,0.12488888888888894,63545.796155929565,1.329845825820872,0.21033267676830292,,1.7554159876597482,0.34581297636032104,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,3.918128652829182,23.0666665649414,17.460000000000008,0.23777777777777775,11.170643248887092,0.995955845197066
219,FT,10,99.9859649122807,93.15555524359809,90.54,0.06844444444444442,0.1564444444444445,0.14622222222222225,0.32577777777777783,0.2168888888888889,77820.3501701355,1.3721479014067621,0.21639405190944672,,1.7986283558160876,0.34904420375823975,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,0.5076023391812896,19.28888852267795,15.980000000000004,0.24977777777777777,9.006567159909256,0.9965620399108492
219,GA,2,88.0280701522381,87.82222219509549,85.0,0.12177777777777776,0.20577777777777773,0.3448888888888889,0.48444444444444446,0.49777777777777776,1208.4779739379883,1.1794788900664703,0.034684039652347565,,1.7644174154611114,0.4408498704433441,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,2250,,30.472514614529082,32.4888888244629,28.32,0.16133333333333344,22.86068419308133,0.05857444886173329
219,GA,4,86.98245613071374,86.26666690402561,84.12,0.1373333333333333,0.2008888888888889,0.3786666666666667,0.492,0.5151111111111111,1977.8070449829102,1.2203095020837673,0.04110955446958542,,1.7536170175615275,0.344469279050827,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,2250,,9.356725160119126,18.1333334757487,14.460000000000008,0.14622222222222225,10.524070214522514,0.056430960985227374
219,wfisher,10,85.97426899835241,85.73333339436849,83.3,0.14266666666666672,0.3008888888888889,0.3804444444444445,0.5053333333333334,0.49511111111111106,12203.999757766724,1.1948245840755192,0.10359044373035431,,1.7847886709333307,0.45276594161987305,,,0.5,resnet18,cifar10,0.1,18,2250,,13.504093574747003,11.86666667344835,8.739999999999995,0.10533333333333339,8.55402339538217,0.1562835796431413
219,retrain,2,57.55555553770902,55.333333370632594,56.68,0.44666666666666666,0.36711111111111117,0.508,0.508888888888889,0.5982222222222222,20631.486892700195,1.40974476216932,0.5932047963142395,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,,,,,,
219,retrain,4,77.62573097059462,68.13333342827691,69.66,0.31866666666666665,0.34711111111111115,0.3502222222222222,0.5164444444444445,0.6328888888888888,35048.26092720032,2.015425362106576,0.7287122011184692,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,,,,,,
219,retrain,6,81.23976606295402,66.22222194417317,66.95,0.33777777777777773,0.4097777777777778,0.5053333333333334,0.5177777777777778,0.5066666666666666,49484.331130981445,3.0033416569442197,0.789922297000885,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,,,,,,
219,retrain,8,95.8970760255334,70.57777800835504,72.88,0.2942222222222223,0.37111111111111106,0.372,0.40222222222222226,0.41600000000000004,63803.828716278076,3.1927379565663,0.853016197681427,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,,,,,,
219,retrain,10,99.47836257309942,73.86666672092014,74.56,0.2613333333333333,0.40622222222222226,0.4351111111111111,0.4422222222222222,0.29733333333333334,78088.81640434265,3.5379450605861904,0.8806405663490295,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,2250,,,,,,,
